acre_foot,ag_demand,meat_demand,industry_demand,urban_demand,agg_mwtp
92,41.71,45.34,129.14,110.356,
93,41.2,44.97,128.01,109.759,
94,40.69,44.6,126.88,109.162,
95,40.18,44.23,125.75,108.565,
96,39.67,43.86,124.62,107.968,
97,39.16,43.49,123.49,107.371,
98,38.65,43.12,122.36,106.774,
99,38.14,42.75,121.23,106.177,
100,37.63,42.38,120.1,105.58,
101,37.12,42.01,118.97,104.983,
102,36.61,41.64,117.84,104.386,
103,36.1,41.27,116.71,103.789,
104,35.59,40.9,115.58,103.192,
105,35.08,40.53,114.45,102.595,
106,34.57,40.16,113.32,101.998,
107,34.06,39.79,112.19,101.401,
108,33.55,39.42,111.06,100.804,
109,33.04,39.05,109.93,100.207,
110,32.53,38.68,108.8,99.61,
111,32.02,38.31,107.67,99.013,
112,31.51,37.94,106.54,98.416,
113,31,37.57,105.41,97.819,
114,30.49,37.2,104.28,97.222,
115,29.98,36.83,103.15,96.625,
116,29.47,36.46,102.02,96.028,
117,28.96,36.09,100.89,95.431,
118,28.45,35.72,99.76,94.834,
119,27.94,35.35,98.63,94.237,
120,27.43,34.98,97.5,93.64,
121,26.92,34.61,96.37,93.043,
122,26.41,34.24,95.24,92.446,
123,25.9,33.87,94.11,91.849,
124,25.39,33.5,92.98,91.252,
125,24.88,33.13,91.85,90.655,
126,24.37,32.76,90.72,90.058,
127,23.86,32.39,89.59,89.461,
128,23.35,32.02,88.46,88.864,
129,22.84,31.65,87.33,88.267,
130,22.33,31.28,86.2,87.67,
131,21.82,30.91,85.07,87.073,
132,21.31,30.54,83.94,86.476,
133,20.8,30.17,82.81,85.879,
134,20.29,29.8,81.68,85.282,
135,19.78,29.43,80.55,84.685,
136,19.27,29.06,79.42,84.088,
137,18.76,28.69,78.29,83.491,
138,18.25,28.32,77.16,82.894,
139,17.74,27.95,76.03,82.297,
140,17.23,27.58,74.9,81.7,
141,16.72,27.21,73.77,81.103,81.87543619
142,16.21,26.84,72.64,80.506,81.69519106
143,15.7,26.47,71.51,79.909,81.51494593
144,15.19,26.1,70.38,79.312,81.33470079
145,14.68,25.73,69.25,78.715,81.15445566
146,14.17,25.36,68.12,78.118,80.97421053
147,13.66,24.99,66.99,77.521,80.79396539
148,13.15,24.62,65.86,76.924,80.61372026
149,12.64,24.25,64.73,76.327,80.43347513
150,12.13,23.88,63.6,75.73,80.25322999
151,11.62,23.51,62.47,75.133,80.07298486
152,11.11,23.14,61.34,74.536,79.89273973
153,10.6,22.77,60.21,73.939,79.71249459
154,10.09,22.4,59.08,73.342,79.53224946
155,9.58,22.03,57.95,72.745,79.35200433
156,9.07,21.66,56.82,72.148,79.17175919
157,8.56,21.29,55.69,71.551,78.99151406
158,8.05,20.92,54.56,70.954,78.81126893
159,7.54,20.55,53.43,70.357,78.63102379
160,7.03,20.18,52.3,69.76,78.45077866
161,6.52,19.81,51.17,69.163,78.27053353
162,6.01,19.44,50.04,68.566,78.09028839
163,5.5,19.07,48.91,67.969,77.91004326
164,4.99,18.7,47.78,67.372,77.72979813
165,4.48,18.33,46.65,66.775,77.54955299
166,3.97,17.96,45.52,66.178,77.36930786
167,3.46,17.59,44.39,65.581,77.18906273
168,2.95,17.22,43.26,64.984,77.00881759
169,2.44,16.85,42.13,64.387,76.82857246
170,1.93,16.48,41,63.79,76.64832733
171,1.42,16.11,39.87,63.193,76.46808219
172,0.91,15.74,38.74,62.596,76.28783706
173,0.4,15.37,37.61,61.999,76.10759193
174,-0.11,15,36.48,61.402,75.92734679
175,,14.63,35.35,60.805,75.74710166
176,,14.26,34.22,60.208,75.56685652
177,,13.89,33.09,59.611,75.38661139
178,,13.52,31.96,59.014,75.20636626
179,,13.15,30.83,58.417,75.02612112
180,,12.78,29.7,57.82,74.84587599
181,,12.41,28.57,57.223,74.66563086
182,,12.04,27.44,56.626,74.48538572
183,,11.67,26.31,56.029,74.30514059
184,,11.3,25.18,55.432,74.12489546
185,,10.93,24.05,54.835,73.94465032
186,,10.56,22.92,54.238,73.76440519
187,,10.19,21.79,53.641,73.58416006
188,,9.82,20.66,53.044,73.40391492
189,,9.45,19.53,52.447,73.22366979
190,,9.08,18.4,51.85,73.04342466
191,,8.71,17.27,51.253,72.86317952
192,,8.34,16.14,50.656,72.68293439
193,,7.97,15.01,50.059,72.50268926
194,,7.6,13.88,49.462,72.32244412
195,,7.23,12.75,48.865,72.14219899
196,,6.86,11.62,48.268,71.96195386
197,,6.49,10.49,47.671,71.78170872
198,,6.12,9.36,47.074,71.60146359
199,,5.75,8.23,46.477,71.42121846
200,,5.38,7.1,45.88,71.24097332
201,,5.01,5.97,45.283,71.06072819
202,,4.64,4.84,44.686,70.88048306
203,,4.27,3.71,44.089,70.70023792
204,,3.9,2.58,43.492,70.51999279
205,,3.53,1.45,42.895,70.33974766
206,,3.16,0.32,42.298,70.15950252
207,,2.79,-0.81,41.701,69.97925739
208,,2.42,,41.104,69.79901226
209,,2.05,,40.507,69.61876712
210,,1.68,,39.91,69.43852199
211,,1.31,,39.313,69.25827686
212,,0.94,,38.716,69.07803172
213,,0.57,,38.119,68.89778659
214,,0.2,,37.522,68.71754146
215,,-0.17,,36.925,68.53729632
216,,-0.54,,36.328,68.35705119
217,,,,35.731,68.17680606
218,,,,35.134,67.99656092
219,,,,34.537,67.81631579
220,,,,33.94,67.63607066
221,,,,33.343,67.45582552
222,,,,32.746,67.27558039
223,,,,32.149,67.09533526
224,,,,31.552,66.91509012
225,,,,30.955,66.73484499
226,,,,30.358,66.55459986
227,,,,29.761,66.37435472
228,,,,29.164,66.19410959
229,,,,28.567,66.01386446
230,,,,27.97,65.83361932
231,,,,27.373,65.65337419
232,,,,26.776,65.47312906
233,,,,26.179,65.29288392
234,,,,25.582,65.11263879
235,,,,24.985,64.93239366
236,,,,24.388,64.75214852
237,,,,23.791,64.57190339
238,,,,23.194,64.39165826
239,,,,22.597,64.21141312
240,,,,22,64.03116799
241,,,,21.403,63.85092286
242,,,,20.806,63.67067772
243,,,,20.209,63.49043259
244,,,,19.612,63.31018745
245,,,,19.015,63.12994232
246,,,,18.418,62.94969719
247,,,,17.821,62.76945205
248,,,,17.224,62.58920692
249,,,,16.627,62.40896179
250,,,,16.03,62.22871665
251,,,,15.433,62.04847152
252,,,,14.836,61.86822639
253,,,,14.239,61.68798125
254,,,,13.642,61.50773612
255,,,,13.045,61.32749099
256,,,,12.448,61.14724585
257,,,,11.851,60.96700072
258,,,,11.254,60.78675559
259,,,,10.657,60.60651045
260,,,,10.06,60.42626532
261,,,,9.463,60.24602019
262,,,,8.866,60.06577505
263,,,,8.269,59.88552992
264,,,,7.672,59.70528479
265,,,,7.075,59.52503965
266,,,,6.478,59.34479452
267,,,,5.881,59.16454939
268,,,,5.284,58.98430425
269,,,,4.687,58.80405912
270,,,,4.09,58.62381399
271,,,,3.493,58.44356885
272,,,,2.896,58.26332372
273,,,,2.299,58.08307859
274,,,,1.702,57.90283345
275,,,,1.105,57.72258832
276,,,,0.508,57.54234319
277,,,,-0.089,57.36209805
